Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),WG modifier (%),Active (),Slowest Wheel (km/h),Fastest Wheel (km/h),Wheel Slip (km/h),P (),I (),D (),PID (),WG pull (%),Ignition pull (km/h),Slip ramp (km/h),Slip target (km/h),RPM Limit Off (rpm),RPM Limit Soft (rpm),RPM Limit Medium (rpm),RPM Limit Hard (rpm),Cut type (rpm),Cut pattern (rpm),Cut position (rpm),Wheel Angle (),SimosTools [R1.00:2023_3_1:SL 29.33 HSL CBRICK SWG is38.bin]
985.366,0.13069272,-0.030577993,0.24668103,0.24853,91.833466,0.7518799,14.403032,-3.8867438,0.0,0.0,0.0,97.744385,0.0,0.0,456.0,217.125,2094.0,8.627451,-8.7890625,0.08526611,97.69343,13204.715,13135.197,1100.0834,499.89316,6.951888,16.044449,0.0,-5.468749,6.0,33.094788,6.7669163,18.374977,19.124975,1.184,0.0,-26.625,0.05267334,0.0,0.0,0.0,0.0,0.0,0.9921875,1.0009766,55.274963,-2.3437505,65.0686,65.38978,0.0,97.99997,16.699219,1.0,99.71661,73.17471,471.0,649.875,-3.1249988,68.0,0.0,67.09375,10.270158,42.99997,32.226562,1.0,111.31,15.8125,0.0,-78.863525,46.33789,0.0,3.3691406,-9.625244,0.0,110.69,111.43,0.73999786,-5.63,0.0,-0.24,0.0,0.0,0.0,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9468787,0
985.385,0.14455417,-0.0497312,0.2468882,0.25128528,91.83324,0.7518799,14.400482,-3.882933,0.0,0.0,0.0,97.744385,0.0,0.0,456.0,217.125,2094.0,8.627451,-8.828125,0.08526611,97.66855,13168.63,13147.402,1100.0834,499.89316,7.4393682,16.065643,0.0,-5.468749,6.0,33.355713,6.7669163,18.374977,19.124975,1.18,0.0,-26.625,0.054748535,0.0,0.0,0.0,0.0,0.0,0.9921875,1.0009766,55.274963,-2.3437505,65.10753,65.90729,0.0,97.99997,16.894531,1.0,99.791245,73.17471,471.0,649.875,-3.124999,68.09375,0.0,68.09375,10.270158,42.99997,32.373047,1.0,111.31,16.4375,0.0,-79.15344,46.33789,0.0,3.3691406,-9.625244,0.0,110.69,111.6,0.90999603,-5.46,0.0,-0.08,0.0,0.0,0.0,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9468787,0
985.407,0.13564333,-0.05739248,0.24729188,0.25382864,91.833855,0.7518799,14.398697,-3.8773754,0.0,0.0,0.0,97.744385,0.0,0.0,456.0,217.125,2094.0,8.627451,-8.8046875,0.085876465,97.70172,13083.191,13202.593,1100.0834,499.89316,9.389288,16.129229,0.0,-5.4687495,6.0,34.490967,6.7669163,18.374977,19.124975,1.18,0.0,-26.6875,0.056640625,0.0,0.0,0.0,0.0,0.0,0.9921875,1.0009766,55.288696,-2.3437505,65.18337,66.384995,0.0,97.99997,17.089844,1.0,99.68345,73.18301,471.0,649.875,-3.1249993,68.25,0.0,69.09375,10.270158,42.99997,32.287598,1.0,111.44,17.0,0.0,-78.92761,46.343994,0.0,3.3691406,-9.625244,0.0,110.69,111.26,0.5699997,-5.81,0.0,-0.32,0.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9906287,0
985.426,0.14851466,-0.060456995,0.24899392,0.25382864,91.83441,0.7518799,14.385728,-3.866453,0.0,0.0,0.0,97.744385,0.0,0.0,456.0,217.125,2094.0,8.627451,-8.8125,0.085876465,97.70172,13124.053,13330.484,1100.0834,499.89316,9.770794,16.341175,0.0,-5.46875,6.0,34.786987,6.7669163,18.374977,19.124975,1.18,0.0,-26.671875,0.056762695,0.0,0.0,0.0,0.0,0.0,0.99316406,1.0009766,55.282593,-2.3437505,65.50319,66.384995,0.0,97.99997,17.089844,1.0,99.65028,73.18301,471.0,649.875,-3.1249995,68.59375,0.0,69.09375,10.270158,42.99997,32.476807,1.0,111.29,17.03125,0.0,-78.81775,46.343994,0.0,3.3691406,-9.625244,0.0,110.74,111.51,0.7700043,-5.62,0.0,0.4,0.0,0.0,0.0,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.056254,0
985.446,0.15881172,-0.061682798,0.2514428,0.25603294,91.834915,0.7518799,14.394228,-3.820128,0.0,0.0,0.0,97.744385,0.0,0.0,455.625,217.125,2092.0,8.627451,-8.828125,0.085876465,97.7183,13136.789,13452.539,1100.0834,499.89316,11.190845,16.553123,0.0,-5.46875,6.0,35.671997,6.7669163,18.374977,19.124975,1.196,0.0,-26.664062,0.058532715,0.0,0.0,0.0,0.0,0.0,0.9951172,1.0009766,55.308533,-2.3437505,65.963326,66.82163,0.0,97.99997,17.285156,1.0,99.6337,73.18301,471.0,649.875,-3.1249998,70.0625,0.0,70.125,10.736983,42.99997,32.684326,1.0,111.48,17.5625,0.0,-78.723145,46.37451,0.0,3.3691406,-9.625244,0.0,110.65,111.51,0.8600006,-5.54,0.0,0.16,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100004,0
985.466,0.16704938,-0.04342312,0.254628,0.25603294,91.835365,0.7518799,14.394319,-3.753438,0.0,0.0,0.0,97.744385,0.0,0.0,455.625,217.125,2094.0,8.627451,-8.8046875,0.085876465,97.72659,13212.675,13546.999,1100.0834,499.89316,13.225543,16.722681,0.0,-5.46875,6.0,37.01172,6.7669163,17.999977,19.124975,1.196,0.0,-26.726562,0.05883789,0.0,0.0,0.0,0.0,0.0,0.99609375,1.0009766,55.355835,-2.3437505,66.56183,66.79901,0.0,97.99997,17.285156,1.0,99.608826,73.18301,471.0,649.875,-3.1249998,71.34375,0.0,70.1875,10.736983,42.99997,32.67212,1.0,111.3,17.65625,0.0,-78.65906,46.343994,0.0,3.3691406,-9.625244,0.0,110.69,111.26,0.5699997,-5.85,0.0,-0.24,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2093792,0
985.486,0.1736395,-0.03611925,0.2565431,0.25679597,91.83577,0.7518799,14.400242,-3.6666677,0.0,0.0,0.0,97.744385,0.0,0.0,455.625,216.75,2094.0,8.627451,-8.8125,0.0859375,97.776344,13353.834,13631.376,1100.0834,499.89316,12.504921,16.89224,0.0,-5.46875,6.0,36.705017,6.7669163,17.999977,18.749975,1.196,0.0,-26.757812,0.059570312,0.0,0.0,0.0,0.0,0.0,0.9951172,1.0009766,55.368042,-2.3437505,67.01555,67.10357,0.0,97.99997,17.285156,1.0,99.60053,73.18301,471.0,649.875,-3.1249998,71.90625,0.0,70.21875,10.736983,42.99997,32.67212,1.0,111.26,17.875,0.0,-78.62244,46.343994,0.0,3.3691406,-9.625244,0.0,110.82,111.43,0.6100006,-5.82,0.0,0.32,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531292,0
985.507,0.1989116,-0.0331977,0.2580011,0.25611773,91.83531,0.7518799,14.398528,-3.600777,0.0,0.0,0.0,97.744385,0.0,0.0,455.25,216.75,2094.0,8.627451,-8.828125,0.085998535,97.826096,13512.505,13723.182,1100.0834,499.89316,12.653284,17.01941,0.0,-5.46875,6.0,36.98883,6.7669163,17.624977,18.749975,1.232,0.0,-26.882812,0.05895996,0.0,0.0,0.0,0.0,0.0,0.99609375,1.0009766,55.37567,-2.3437505,67.290016,66.97584,0.0,97.99997,17.285156,1.0,99.65028,73.17471,471.0,649.875,-3.1249998,72.71875,0.0,70.21875,10.736983,42.99997,32.733154,1.0,111.42,17.6875,0.0,-78.67737,46.33789,0.0,3.3691406,-9.625244,0.0,110.6,111.43,0.83000183,-5.6,0.0,0.56,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531292,0
985.527,0.2191293,-0.03202908,0.25772542,0.25594816,91.8349,0.7518799,14.39147,-3.5608983,0.0,0.0,0.0,97.744385,0.0,0.0,455.25,216.75,2095.0,8.627451,-8.7890625,0.08605957,97.917305,13622.885,13666.4,1100.0834,499.89316,10.957702,16.93463,0.0,-5.46875,6.0,36.068726,6.7669163,17.624977,18.749975,1.232,0.0,-26.953125,0.05871582,0.0,0.0,0.0,0.0,0.0,0.9980469,1.0009766,55.38788,-2.3437505,67.52539,67.15536,0.0,97.99997,17.285156,1.0,99.68345,73.17471,471.0,649.875,-3.1249998,72.4375,0.0,70.1875,10.736983,42.99997,32.74536,1.0,111.22,17.625,0.0,-78.793335,46.325684,0.0,3.3691406,-9.625244,0.0,110.69,111.26,0.5699997,-5.86,0.0,-0.4,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2968793,0
985.546,0.23530345,-0.012811633,0.25821027,0.25607535,91.834526,0.7518799,14.398248,-3.5266967,0.0,0.0,0.0,97.744385,0.0,0.0,455.25,216.75,2096.0,8.627451,-8.8125,0.086120605,97.97535,13775.719,13650.4795,1100.0834,499.89316,8.795834,16.913435,0.0,-5.46875,6.0,34.899902,6.7669163,17.624977,18.749975,1.232,0.0,-26.960938,0.05895996,0.0,0.0,0.0,0.0,0.0,0.9980469,1.0009766,55.381775,-2.3437505,67.63262,67.22568,0.0,97.99997,17.285156,1.0,99.71661,73.17471,471.0,649.875,-3.1249998,72.8125,0.0,70.21875,10.736983,42.99997,32.83081,1.0,111.26,17.6875,0.0,-78.94592,46.307373,0.0,3.3691406,-9.625244,0.0,110.86,111.56,0.69999695,-5.73,0.0,0.56,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2968793,0
